PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
60-160;UP Poznań 47;Poznań (Poznań-Grunwald);Jawornicka;8;Poznań;Poznań;wielkopolskie
60-968;UP Poznań 47;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
60-005;FUP Poznań 47;Poznań (Poznań-Grunwald);Fabianowo;2;Poznań;Poznań;wielkopolskie
60-190;FUP Poznań 47;Poznań (Poznań-Grunwald);Złotowska;11/B;Poznań;Poznań;wielkopolskie
61-640;UP Poznań 50;Poznań (Poznań-Stare Miasto);os. Przyjaźni;115;Poznań;Poznań;wielkopolskie
60-950;UP Poznań 50;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
61-640;FUP Poznań 50;Poznań (Poznań-Stare Miasto);Dożynkowa;9;Poznań;Poznań;wielkopolskie
60-966;FUP Poznań 50;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
61-640;FUP Poznań 50;Poznań (Poznań-Stare Miasto);os. Pod Lipami;104;Poznań;Poznań;wielkopolskie
61-640;FUP Poznań 50;Poznań (Poznań-Stare Miasto);os. Przyjaźni;132/B;Poznań;Poznań;wielkopolskie
61-670;FUP Poznań 50;Poznań (Poznań-Stare Miasto);os. Wichrowe Wzgórze;104;Poznań;Poznań;wielkopolskie
61-623;FUP Poznań 50;Poznań (Poznań-Stare Miasto);Wilczak;18;Poznań;Poznań;wielkopolskie
61-640;FUP Poznań 50;Poznań (Poznań-Stare Miasto);os. Zwycięstwa;111;Poznań;Poznań;wielkopolskie
60-680;UP Poznań 53;Poznań (Poznań-Stare Miasto);os. Bolesława Chrobrego;101/15;Poznań;Poznań;wielkopolskie
60-690;FUP Poznań 53;Poznań (Poznań-Stare Miasto);os. Jana III Sobieskiego;52;Poznań;Poznań;wielkopolskie
60-687;FUP Poznań 53;Poznań (Poznań-Stare Miasto);os. Stefana Batorego;59;Poznań;Poznań;wielkopolskie
60-680;FUP Poznań 53;Poznań (Poznań-Stare Miasto);Zygmunta Wojciechowskiego;3/5;Poznań;Poznań;wielkopolskie
61-280;UP Poznań 54;Poznań (Poznań-Nowe Miasto);os. Czecha;73/74;Poznań;Poznań;wielkopolskie
60-974;UP Poznań 54;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
61-280;FUP Poznań 54;Poznań (Poznań-Nowe Miasto);os. Lecha;43;Poznań;Poznań;wielkopolskie
60-982;FUP Poznań 54;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
61-136;FUP Poznań 54;Poznań (Poznań-Nowe Miasto);Pleszewska;1;Poznań;Poznań;wielkopolskie
61-240;FUP Poznań 54;Poznań (Poznań-Nowe Miasto);os. Rusa;54;Poznań;Poznań;wielkopolskie
60-990;FUP Poznań 54;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
61-255;FUP Poznań 54;Poznań (Poznań-Nowe Miasto);os. Tysiąclecia;30;Poznań;Poznań;wielkopolskie
60-971;FUP Poznań 54;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
60-660;UP Poznań 56;Poznań (Poznań-Jeżyce);Piątkowska;123/A;Poznań;Poznań;wielkopolskie
60-970;UP Poznań 56;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
60-660;FUP Poznań 56;Poznań (Poznań-Jeżyce);Wojska Polskiego;86;Poznań;Poznań;wielkopolskie
60-660;FUP Poznań 56;Poznań (Poznań-Jeżyce);Wołyńska;6;Poznań;Poznań;wielkopolskie
60-987;FUP Poznań 56;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
60-670;UP Poznań 60;Poznań (Poznań-Stare Miasto);os. Bolesława Śmiałego;104;Poznań;Poznań;wielkopolskie
60-969;UP Poznań 60;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
60-670;FUP Poznań 60;Poznań (Poznań-Stare Miasto);Romana Drewsa;3/E;Poznań;Poznań;wielkopolskie
60-991;FUP Poznań 60;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
61-610;UP Poznań 61;Poznań (Poznań-Stare Miasto);os. Władysława Łokietka;102;Poznań;Poznań;wielkopolskie
60-975;UP Poznań 61;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
61-610;FUP Poznań 61;Poznań (Poznań-Stare Miasto);Naramowicka;203/C;Poznań;Poznań;wielkopolskie
61-120;UP Poznań 68;Poznań (Poznań-Nowe Miasto);os. Piastowskie;118;Poznań;Poznań;wielkopolskie
61-043;UP Poznań 69;Poznań (Poznań-Nowe Miasto);Warszawska;137;Poznań;Poznań;wielkopolskie
61-043;FUP Poznań 69;Poznań (Poznań-Nowe Miasto);Mogileńska;8;Poznań;Poznań;wielkopolskie
60-958;FUP Poznań 69;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
61-043;FUP Poznań 69;Poznań (Poznań-Nowe Miasto);Mścibora;67;Poznań;Poznań;wielkopolskie
60-976;FUP Poznań 69;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
61-043;FUP Poznań 69;Poznań (Poznań-Nowe Miasto);os. Przemysława;8/C;Poznań;Poznań;wielkopolskie
61-800;UP Poznań 70;Poznań (Poznań-Stare Miasto);pl. Wiosny Ludów;2;Poznań;Poznań;wielkopolskie
61-870;FUP Poznań 70;Poznań (Poznań-Stare Miasto);Półwiejska;15;Poznań;Poznań;wielkopolskie
61-846;FUP Poznań 70;Poznań (Poznań-Stare Miasto);Strzelecka;42;Poznań;Poznań;wielkopolskie
60-988;FUP Poznań 70;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
60-240;UP Poznań 74;Poznań (Poznań-Grunwald);Głogowska;132/140;Poznań;Poznań;wielkopolskie
60-994;UP Poznań 74;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
60-260;FUP Poznań 74;Poznań (Poznań-Grunwald);Józefa Chociszewskiego;18/20;Poznań;Poznań;wielkopolskie
60-952;FUP Poznań 74;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
60-201;FUP Poznań 74;Poznań (Poznań-Grunwald);Górecka;30;Poznań;Poznań;wielkopolskie
60-989;FUP Poznań 74;skrytki/przegródki;;;Poznań;Poznań;wielkopolskie
77-143;AP Półczno;Półczno;;22;Studzienice;bytowski;pomorskie
50-900;PP PP-Wrocław D101;Wrocław (Wrocław-Fabryczna);Ibn Siny Awicenny;21;Wrocław;Wrocław;dolnośląskie
82-551;AP Prabuty;Prabuty;Sanatoryjna;2;Prabuty;kwidzyński;pomorskie
82-550;UP Prabuty 1;Prabuty;Warszawska;1;Prabuty;kwidzyński;pomorskie
56-303;AP Pracze;Pracze;;48;Milicz;milicki;dolnośląskie
46-320;UP Praszka;Praszka;Kościuszki;13;Praszka;oleski;opolskie
46-310;FUP Praszka;Gorzów Śląski;Wojska Polskiego;19;Gorzów Śląski;oleski;opolskie
46-325;FUP Praszka;Rudniki;Częstochowska;50;Rudniki;oleski;opolskie
46-321;AP Praszka;Praszka;Kaliska;41B;Praszka;oleski;opolskie
59-500;AP Proboszczów;Proboszczów;;98a;Pielgrzymka;złotoryjski;dolnośląskie
32-100;UP Proszowice;Proszowice;3 Maja;51;Proszowice;proszowicki;małopolskie
32-107;FUP Proszowice;Radziemice;;80;Radziemice;proszowicki;małopolskie
46-060;UP Prószków;Prószków;Rynek;16;Prószków;opolski;opolskie
43-523;AP Pruchna;Pruchna;Główna;4;Strumień;cieszyński;śląskie
37-560;UP Pruchnik;Pruchnik;Jana Pawła II;1;Pruchnik;jarosławski;podkarpackie
48-200;UP Prudnik;Prudnik;Kościuszki;14;Prudnik;prudnicki;opolskie
48-200;FUP Prudnik;Lubrza;Wolności;24;Lubrza;prudnicki;opolskie
48-203;FUP Prudnik;Prudnik;Księdza Skowrońskiego;28;Prudnik;prudnicki;opolskie
48-200;AP Prudnik;Prudnik;Batorego;3-5;Prudnik;prudnicki;opolskie
48-201;AP Prudnik;Prudnik;Łangowskiego;1B;Prudnik;prudnicki;opolskie
89-521;AP Pruszcz;Pruszcz;Kościelna;30;Gostycyn;tucholski;kujawsko-pomorskie
83-001;AP Pruszcz Gdański;Pruszcz Gdański;Stefana Rogozińskiego;3;Pruszcz Gdański;gdański;pomorskie
83-000;UP Pruszcz Gdański 1;Pruszcz Gdański;Fryderyka Chopina;1;Pruszcz Gdański;gdański;pomorskie
83-000;FUP Pruszcz Gdański 1;Łęgowo;Spacerowa;9;Pruszcz Gdański;gdański;pomorskie
83-004;FUP Pruszcz Gdański 1;Pruszcz Gdański;Konstantego Ildefonsa Gałczyńskiego;17;Pruszcz Gdański;gdański;pomorskie
83-005;FUP Pruszcz Gdański 1;Pruszcz Gdański;Obrońców Pokoju;5;Pruszcz Gdański;gdański;pomorskie
83-010;FUP Pruszcz Gdański 1;Straszyn;Pocztowa;3;Pruszcz Gdański;gdański;pomorskie
86-120;UP Pruszcz k. Bydgoszczy;Pruszcz;Dworcowa;9;Pruszcz;świecki;kujawsko-pomorskie
05-809;AP Pruszków;Pruszków;Ciechanowska;29B;Pruszków;pruszkowski;mazowieckie
05-800;UP Pruszków 1;Pruszków;Fryderyka Chopina;64;Pruszków;pruszkowski;mazowieckie
05-806;FUP Pruszków 1;Komorów;Krótka;5;Michałowice;pruszkowski;mazowieckie
05-804;FUP Pruszków 1;Pruszków;Helenowska;3;Pruszków;pruszkowski;mazowieckie
05-800;FUP Pruszków 1;Pruszków;Tadeusza Kościuszki;30;Pruszków;pruszkowski;mazowieckie
05-800;FUP Pruszków 1;Pruszków;Narodowa;23;Pruszków;pruszkowski;mazowieckie
05-810;FUP Pruszków 1;Pruszków;Ołówkowa;1D;Pruszków;pruszkowski;mazowieckie
05-802;FUP Pruszków 1;Pruszków;Partyzantów;2;Pruszków;pruszkowski;mazowieckie
05-803;UP Pruszków 5;Pruszków;Ignacego Kraszewskiego;13;Pruszków;pruszkowski;mazowieckie
06-300;AP Przasnysz;Przasnysz;Magnolii;28;Przasnysz;przasnyski;mazowieckie
06-301;AP Przasnysz;Przasnysz;Świerczewo;20;Przasnysz;przasnyski;mazowieckie
06-300;UP Przasnysz 1;Przasnysz;3 Maja;11;Przasnysz;przasnyski;mazowieckie
06-302;FUP Przasnysz 1;Przasnysz;Orlika;42;Przasnysz;przasnyski;mazowieckie
48-318;AP Przechód;Przechód;;111;Korfantów;nyski;opolskie
39-320;UP Przecław;Przecław;Kilińskiego;9;Przecław;mielecki;podkarpackie
39-320;FUP Przecław;Rzemień;;70;Przecław;mielecki;podkarpackie
97-570;UP Przedbórz;Przedbórz;Pocztowa;42 A;Przedbórz;radomszczański;łódzkie
97-515;FUP Przedbórz;Masłowice;;57 A;Masłowice;radomszczański;łódzkie
97-510;FUP Przedbórz;Ręczno;Piotrkowska;7;Ręczno;piotrkowski;łódzkie
36-100;AP Przedbórz k. Kolbuszowej;Przedbórz;;271 B;Kolbuszowa;kolbuszowski;podkarpackie
64-234;UP Przemęt;Przemęt;Jagiellońska;3;Przemęt;wolsztyński;wielkopolskie
59-170;UP Przemków 1;Przemków;Głogowska;43;Przemków;polkowicki;dolnośląskie
59-170;FUP Przemków 1;Gaworzyce;Główna;4;Gaworzyce;polkowicki;dolnośląskie
59-170;FUP Przemków 1;Przemków;Akacjowa;7;Przemków;polkowicki;dolnośląskie
59-170;FUP Przemków 1;Radwanice;Przemysłowa;23;Radwanice;polkowicki;dolnośląskie
37-702;AP Przemyśl;Przemyśl;Grunwaldzka;58;Przemyśl;Przemyśl;podkarpackie
37-700;AP Przemyśl;Przemyśl;Zygmunta Krasińskiego;bn;Przemyśl;Przemyśl;podkarpackie
37-700;UP Przemyśl 1;Przemyśl;3 Maja;25;Przemyśl;Przemyśl;podkarpackie
37-700;FUP Przemyśl 1;Przemyśl;Generała Władysława Sikorskiego;1 B;Przemyśl;Przemyśl;podkarpackie
37-720;UP Przemyśl 2;Przemyśl;Adama Mickiewicza;13;Przemyśl;Przemyśl;podkarpackie
37-705;FUP Przemyśl 2;Przemyśl;Ofiar Katynia;4;Przemyśl;Przemyśl;podkarpackie
37-720;FUP Przemyśl 2;Przemyśl;Juliusza Słowackiego;63;Przemyśl;Przemyśl;podkarpackie
37-720;FUP Przemyśl 2;Przemyśl;Sportowa;11;Przemyśl;Przemyśl;podkarpackie
37-701;UP Przemyśl 3;Przemyśl;Kazimierza Opalińskiego;11 A;Przemyśl;Przemyśl;podkarpackie
37-704;UP Przemyśl 6;Przemyśl;wyb. Wybrzeże Ojca Świętego Jana Pawła II;70;Przemyśl;Przemyśl;podkarpackie
37-706;UP Przemyśl 8;Przemyśl;rynek Rynek;20;Przemyśl;Przemyśl;podkarpackie
78-450;AP Przeradz;Przeradz;;7B;Grzmiąca;szczecinecki;zachodniopomorskie
97-515;AP Przerąb;Przerąb;;27;Masłowice;radomszczański;łódzkie
22-540;AP Przewodów;Przewodów;;5;Dołhobyczów;hrubieszowski;lubelskie
37-201;AP Przeworsk;Przeworsk;Szpitalna;8;Przeworsk;przeworski;podkarpackie
37-200;UP Przeworsk 1;Przeworsk;Jagiellońska;2;Przeworsk;przeworski;podkarpackie
37-210;FUP Przeworsk 1;Przeworsk;Lubomirskich;3B;Przeworsk;przeworski;podkarpackie
37-202;FUP Przeworsk 1;Urzejowice;;482;Przeworsk;przeworski;podkarpackie
37-205;FUP Przeworsk 1;Zarzecze;;4 G;Zarzecze;przeworski;podkarpackie
62-082;FUP Przeźmierowo;Przeźmierowo;Rynkowa;75/C;Tarnowo Podgórne;poznański;wielkopolskie
62-090;FUP Przeźmierowo;Rokietnica;Pocztowa;6;Rokietnica;poznański;wielkopolskie
62-083;AP Przeźmierowo;Przeźmierowo;Ogrodowa;14;Tarnowo Podgórne;poznański;wielkopolskie
72-300;AP Przybiernówko;Przybiernówko;;bn;Gryfice;gryficki;zachodniopomorskie
67-102;AP Przyborów;Przyborów;Nowosolska;21;Nowa Sól;nowosolski;lubuskie
26-801;AP Przybyszew;Przybyszew (Rynek);;21;Promna;białobrzeski;mazowieckie
63-421;UP Przygodzice;Przygodzice;Wrocławska;54;Przygodzice;ostrowski;wielkopolskie
57-431;AP Przygórze;Przygórze;;212;Nowa Ruda;kłodzki;dolnośląskie
26-704;UP Przyłęk;Przyłęk;;31;Przyłęk;zwoleński;mazowieckie
26-400;UP Przysucha;Przysucha;Krakowska;26;Przysucha;przysuski;mazowieckie
26-400;FUP Przysucha;Przysucha;Radomska;16;Przysucha;przysuski;mazowieckie
34-604;AP Przyszowa;Przyszowa;;480;Łukowica;limanowski;małopolskie
37-433;AP Przyszów Zapuście;Przyszów;Jana Pawła II;43;Bojanów;stalowowolski;podkarpackie
34-141;AP Przytkowice;Przytkowice;;416;Kalwaria Zebrzydowska;wadowicki;małopolskie
66-340;UP Przytoczna;Przytoczna;Pocztowa;31;Przytoczna;międzyrzecki;lubuskie
26-650;UP Przytyk;Przytyk;Zachęta;57;Przytyk;radomski;mazowieckie
63-100;AP Psarskie;Psarskie;Zachodnia;66;Śrem;śremski;wielkopolskie
38-120;AP Pstrągowa;Pstrągowa;;24;Czudec;strzyżowski;podkarpackie
83-032;UP Pszczółki;Pszczółki;Kościelna;4 ;Pszczółki;gdański;pomorskie
83-022;FUP Pszczółki;Suchy Dąb;Gdańska;31;Suchy Dąb;gdański;pomorskie
43-200;UP Pszczyna;Pszczyna;Stefana Batorego;1;Pszczyna;pszczyński;śląskie
43-230;FUP Pszczyna;Goczałkowice-Zdrój;Uzdrowiskowa;32;Goczałkowice-Zdrój;pszczyński;śląskie
43-210;FUP Pszczyna;Kobiór;Centralna;14;Kobiór;pszczyński;śląskie
43-200;FUP Pszczyna;Pszczyna;Bielska;34A;Pszczyna;pszczyński;śląskie
43-200;FUP Pszczyna;Pszczyna;Bolesława Chrobrego;10;Pszczyna;pszczyński;śląskie
43-203;FUP Pszczyna;Pszczyna;Karola Szymanowskiego;23;Pszczyna;pszczyński;śląskie
43-267;FUP Pszczyna;Suszec;Wyzwolenia;2;Suszec;pszczyński;śląskie
43-204;AP Pszczyna;Pszczyna;Katowicka;51;Pszczyna;pszczyński;śląskie
58-100;AP Pszenno;Pszenno;Nadbrzeżna;10;Świdnica;świdnicki;dolnośląskie
44-370;UP Pszów;Pszów;Pszowska;542;Pszów;wodzisławski;śląskie
21-562;AP Puchacze;Puchacze;;13;Międzyrzec Podlaski;bialski;lubelskie
84-100;UP Puck;Puck;Wałowa;1;Puck;pucki;pomorskie
84-101;AP Puck;Puck;Topolowa;11;Puck;pucki;pomorskie
63-842;AP Pudliszki;Pudliszki;Fabryczna;3;Krobia;gostyński;wielkopolskie
22-650;AP Pukarzów;Pukarzów;;2/9;Łaszczów;tomaszowski;lubelskie
23-212;AP Pułankowice;Pułankowice;;47;Wilkołaz;kraśnicki;lubelskie
24-100;AP Puławy;Puławy;Cypriana Kamila Norwida;2;Puławy;puławski;lubelskie
24-100;UP Puławy 1;Puławy;Lubelska;3;Puławy;puławski;lubelskie
24-102;FUP Puławy 1;Góra Puławska;Parkowa;3;Puławy;puławski;lubelskie
24-123;FUP Puławy 1;Janowiec;Lubelska;9;Janowiec;puławski;lubelskie
24-130;FUP Puławy 1;Końskowola;Pożowska;3;Końskowola;puławski;lubelskie
24-112;FUP Puławy 1;Puławy;Lubelska;18;Puławy;puławski;lubelskie
24-100;FUP Puławy 1;Puławy;marsz. Józefa Piłsudskiego;60;Puławy;puławski;lubelskie
24-110;FUP Puławy 1;Puławy;al. Tysiąclecia Państwa Polskiego;13;Puławy;puławski;lubelskie
24-100;FUP Puławy 1;Puławy;Franciszka Zabłockiego;3;Puławy;puławski;lubelskie
24-100;FUP Puławy 1;Puławy;Stefana Żeromskiego;21;Puławy;puławski;lubelskie
24-103;FUP Puławy 1;Żyrzyn;Powstania Styczniowego;15;Żyrzyn;puławski;lubelskie
24-111;UP Puławy 4;Puławy;Hugona Kołłątaja;20;Puławy;puławski;lubelskie
24-111;FUP Puławy 4;Puławy;Juliana Ursyna Niemcewicza;9;Puławy;puławski;lubelskie
06-101;AP Pułtusk;Pułtusk;Warszawska;14;Pułtusk;pułtuski;mazowieckie
06-100;UP Pułtusk 1;Pułtusk;17 Sierpnia;35;Pułtusk;pułtuski;mazowieckie
06-126;FUP Pułtusk 1;Gzy;;8;Gzy;pułtuski;mazowieckie
06-100;FUP Pułtusk 1;Pułtusk;Świętego Andrzeja Boboli;8;Pułtusk;pułtuski;mazowieckie
05-304;AP Pustelnik;Pustelnik;Warszawska;38;Stanisławów;miński;mazowieckie
46-041;AP Pustków;Pustków;Ozimska;19;Ozimek;opolski;opolskie
39-205;AP Pustków;Pustków;;78;Dębica;dębicki;podkarpackie
39-206;UP Pustków 3;Pustków;;26;Dębica;dębicki;podkarpackie
96-330;UP Puszcza Mariańska;Puszcza Mariańska;Konstytucji 3 Maja;8;Puszcza Mariańska;żyrardowski;mazowieckie
62-040;UP Puszczykowo;Puszczykowo;Dworcowa;47;Puszczykowo;poznański;wielkopolskie
62-040;FUP Puszczykowo;Puszczykowo;Nowe Osiedle;22;Puszczykowo;poznański;wielkopolskie
74-200;UP Pyrzyce;Pyrzyce;Księcia Bogusława X;15;Pyrzyce;pyrzycki;zachodniopomorskie
74-202;FUP Pyrzyce;Bielice;Jana Pawła II;13;Bielice;pyrzycki;zachodniopomorskie
74-200;FUP Pyrzyce;Kozielice;;96;Kozielice;pyrzycki;zachodniopomorskie
74-240;FUP Pyrzyce;Lipiany;Jedności Narodowej;31;Lipiany;pyrzycki;zachodniopomorskie
74-210;FUP Pyrzyce;Przelewice;;95A;Przelewice;pyrzycki;zachodniopomorskie
74-200;FUP Pyrzyce;Pyrzyce;Lipiańska;4;Pyrzyce;pyrzycki;zachodniopomorskie
74-201;FUP Pyrzyce;Warnice;;37B;Warnice;pyrzycki;zachodniopomorskie
74-203;AP Pyrzyce;Pyrzyce;1 Maja;18;Pyrzyce;pyrzycki;zachodniopomorskie
44-120;UP Pyskowice;Pyskowice;Armii Krajowej;22;Pyskowice;gliwicki;śląskie
44-120;FUP Pyskowice;Pyskowice;gen. Władysława Sikorskiego;81;Pyskowice;gliwicki;śląskie
44-124;AP Pyskowice;Pyskowice;gen. Władysława Sikorskiego;2;Pyskowice;gliwicki;śląskie
44-123;AP Pyskowice;Pyskowice;Wojska Polskiego;13;Pyskowice;gliwicki;śląskie
37-403;UP Pysznica;Pysznica;Podorenda;1A;Pysznica;stalowowolski;podkarpackie
34-730;AP Raba Niżna;Raba Niżna;;22;Mszana Dolna;limanowski;małopolskie
34-700;UP Rabka-Zdrój;Rabka-Zdrój;Orkana;22;Rabka-Zdrój;nowotarski;małopolskie
34-721;FUP Rabka-Zdrój;Raba Wyżna;;45B;Raba Wyżna;nowotarski;małopolskie
34-745;FUP Rabka-Zdrój;Spytkowice;;13;Spytkowice;nowotarski;małopolskie
09-140;UP Raciąż k. Sierpca;Raciąż;Kilińskiego;22;Raciąż;płoński;mazowieckie
59-720;AP Raciborowice Dolne;Raciborowice Dolne;;63;Warta Bolesławiecka;bolesławiecki;dolnośląskie
47-400;UP Racibórz;Racibórz;Pocztowa;14;Racibórz;raciborski;śląskie
47-470;FUP Racibórz;Krzanowice;Rynek;16;Krzanowice;raciborski;śląskie
47-440;FUP Racibórz;Nędza;Strażacka;2;Nędza;raciborski;śląskie
47-480;FUP Racibórz;Pietrowice Wielkie;1 Maja;17;Pietrowice Wielkie;raciborski;śląskie
47-400;FUP Racibórz;Racibórz;Hetmana Jana Karola Chodkiewicza;36;Racibórz;raciborski;śląskie
47-404;FUP Racibórz;skrytki/przegródki;;;Racibórz;raciborski;śląskie
47-400;FUP Racibórz;Racibórz;Kapitana Serafina Myśliwca;9;Racibórz;raciborski;śląskie
47-406;FUP Racibórz;skrytki/przegródki;;;Racibórz;raciborski;śląskie
47-400;FUP Racibórz;Racibórz;Rybnicka;97;Racibórz;raciborski;śląskie
47-411;FUP Racibórz;Rudnik;Kozielska;1;Rudnik;raciborski;śląskie
47-400;AP Racibórz;Racibórz;Chorzowska; ;Racibórz;raciborski;śląskie
47-405;AP Racibórz;Racibórz;Karola;9/2;Racibórz;raciborski;śląskie
47-400;AP Racibórz;Racibórz;ks. Józefa Londzina;13;Racibórz;raciborski;śląskie
47-403;AP Racibórz;Racibórz;Opawska;124 A/5;Racibórz;raciborski;śląskie
47-401;AP Racibórz;Racibórz;Opawska;38;Racibórz;raciborski;śląskie
47-402;AP Racibórz;Racibórz;Pracy;21;Racibórz;raciborski;śląskie
47-400;AP Racibórz;Racibórz;Rudzka;47;Racibórz;raciborski;śląskie
32-415;UP Raciechowice;Raciechowice;;258;Raciechowice;myślenicki;małopolskie
48-250;AP Racławice Śląskie;Racławice Śląskie;Kolejowa;7;Głogówek;prudnicki;opolskie
64-820;AP Raczyn;Raczyn;;38;Szamocin;chodzieski;wielkopolskie
77-401;AP Radawnica;Radawnica;Młyńska;12;Złotów;złotowski;wielkopolskie
22-463;UP Radecznica;Radecznica;B. Prusa;21;Radecznica;zamojski;lubelskie
66-521;AP Radęcin;Radęcin;;6B;Dobiegniew;strzelecko-drezdenecki;lubuskie
44-310;UP Radlin;Radlin;Wojciecha Korfantego;3;Radlin;wodzisławski;śląskie
44-310;AP Radlin;Radlin;Ignacego Domeyki;29;Radlin;wodzisławski;śląskie
44-310;AP Radlin;Radlin;Mariacka;75;Radlin;wodzisławski;śląskie
88-110;AP Radojewice;Radojewice;;63;Dąbrowa Biskupia;inowrocławski;kujawsko-pomorskie
26-617;AP Radom;Radom;Juliana Aleksandrowicza;5;Radom;Radom;mazowieckie
26-636;AP Radom;Radom;Młodzianowska;154;Radom;Radom;mazowieckie
26-627;AP Radom;Radom;Andrzeja Struga;54;Radom;Radom;mazowieckie
26-607;AP Radom;Radom;Stanisława Wernera;10;Radom;Radom;mazowieckie
26-612;AP Radom;Radom;Wośnicka;28;Radom;Radom;mazowieckie
26-600;UP Radom 1;Radom;Władysława Beliny-Prażmowskiego;2;Radom;Radom;mazowieckie
26-618;FUP Radom 1;Radom;Bolesława Chrobrego;1;Radom;Radom;mazowieckie
26-600;FUP Radom 1;Radom;Al. Józefa Grzecznarowskiego;28;Radom;Radom;mazowieckie
26-619;FUP Radom 1;Radom;marsz. Józefa Piłsudskiego;17;Radom;Radom;mazowieckie
26-600;FUP Radom 1;Radom;Toruńska;1;Radom;Radom;mazowieckie
26-600;FUP Radom 1;Radom;Stanisława Żółkiewskiego;4;Radom;Radom;mazowieckie
26-610;UP Radom 2;Radom;Władysława Beliny-Prażmowskiego;2;Radom;Radom;mazowieckie
26-601;UP Radom 3;Radom;Główna;2;Radom;Radom;mazowieckie
26-602;UP Radom 4;Radom;Kazimierza Kelles-Krauza;22 B;Radom;Radom;mazowieckie
26-602;FUP Radom 4;Radom;Stefana Żeromskiego;53;Radom;Radom;mazowieckie
26-604;UP Radom 6;Radom;Kalińska;2;Radom;Radom;mazowieckie
26-607;UP Radom 9;Radom;Jacka Malczewskiego;5;Radom;Radom;mazowieckie
26-608;UP Radom 10;Radom;Stefana Żeromskiego;105a/2;Radom;Radom;mazowieckie
26-608;FUP Radom 10;Radom;Osiedle Sadków;103;Radom;Radom;mazowieckie
26-609;UP Radom 11;Radom;Janusza Kusocińskiego;16 d;Radom;Radom;mazowieckie
26-611;UP Radom 12;Radom;Osiedlowa;9;Radom;Radom;mazowieckie
26-622;FUP Radom 12;Radom;Sandomierska;14a;Radom;Radom;mazowieckie
26-606;FUP Radom 12;Radom;Wiejska;24;Radom;Radom;mazowieckie
26-612;UP Radom 13;Radom;Maratońska;3;Radom;Radom;mazowieckie
26-612;FUP Radom 13;Radom;Sucha;13;Radom;Radom;mazowieckie
26-615;UP Radom 14;Radom;Stanisława Zbrowskiego;104;Radom;Radom;mazowieckie
26-613;FUP Radom 14;Radom;Kozienicka;97;Radom;Radom;mazowieckie
26-614;FUP Radom 14;Radom;Olsztyńska;39;Radom;Radom;mazowieckie
26-605;FUP Radom 14;Radom;Ignacego Paderewskiego;17;Radom;Radom;mazowieckie
26-616;UP Radom 18;Radom;Czarnoleska;25/3B;Radom;Radom;mazowieckie
26-621;FUP Radom 18;Radom;Trojańska;12/4;Radom;Radom;mazowieckie
26-617;UP Radom 19;Radom;Królowej Jadwigi;1;Radom;Radom;mazowieckie
13-304;AP Radomno;Radomno;;54;Nowe Miasto Lubawskie;nowomiejski;warmińsko-mazurskie
97-500;AP Radomsko;Radomsko;Brzeźnicka;270;Radomsko;radomszczański;łódzkie
97-502;AP Radomsko;Radomsko;Jagiellońska;36;Radomsko;radomszczański;łódzkie
97-500;AP Radomsko;Radomsko;Księdza Karola Kościowa;35;Radomsko;radomszczański;łódzkie
97-500;AP Radomsko;Radomsko;Norwida;3 A;Radomsko;radomszczański;łódzkie
97-503;AP Radomsko;Radomsko;Tysiąclecia;10;Radomsko;radomszczański;łódzkie
97-502;AP Radomsko;Radomsko;Władysława Łokietka;9;Radomsko;radomszczański;łódzkie
97-500;UP Radomsko 1;Radomsko;Plac 3 Maja Pl.;6;Radomsko;radomszczański;łódzkie
97-545;FUP Radomsko 1;Gomunice;Wojska Polskiego;28;Gomunice;radomszczański;łódzkie
97-524;FUP Radomsko 1;Kobiele Wielkie;Szkolna;1;Kobiele Wielkie;radomszczański;łódzkie
97-501;FUP Radomsko 1;Radomsko;Brzeźnicka;38;Radomsko;radomszczański;łódzkie
97-504;FUP Radomsko 1;Radomsko;Leszka Czarnego;23;Radomsko;radomszczański;łódzkie
37-455;UP Radomyśl n. Sanem;Radomyśl nad Sanem;Mickiewicza;16;Radomyśl nad Sanem;stalowowolski;podkarpackie
39-310;UP Radomyśl Wielki;Radomyśl Wielki;rynek Rynek;7;Radomyśl Wielki;mielecki;podkarpackie
